date,open,high,low,close,adjClose,volume
2016-12-31,8.16,8.6,8.03,8.19,8.19,1131719
2017-01-01,8.2,8.53,8.05,8.38,8.38,1042154
2017-01-02,8.38,10.09948,8.24,9.59,9.59,4359269
2017-01-03,9.62,11.17,9.34,11.16,11.16,6045528
2017-01-04,11.13,11.8,9.08,10.31859,10.31859,7509282
2017-01-05,10.29,10.5,9.4726,10.14,10.14,2734210
2017-01-06,10.14,10.21,9.48,9.92,9.92,1291584
2017-01-07,9.92,10.58,9.76164,10.5,10.5,1356621
2017-01-08,10.5,10.94,9.5004,10.41,10.41,1753252
2017-01-09,10.44,10.75,10.2,10.63,10.63,1485893
2017-01-10,10.63,10.84,9.41,9.96,9.96,2959843
2017-01-11,9.8,10.1899,9.082,9.8,9.8,1624899
2017-01-12,9.70079,9.91,9.376,9.84,9.84,1044693
2017-01-13,9.86,9.94,9.507,9.86,9.86,487705
2017-01-14,9.6658,10.05,9.614,9.9,9.9,369211
2017-01-15,9.91,10.23,9.53,9.53,9.53,720068
2017-01-16,9.61999,10.688,9.533,10.274,10.274,2263249
2017-01-17,10.291,10.51,9.7357,10.222,10.222,1540742
2017-01-18,10.222,10.6,10.152,10.44988,10.44988,902713
2017-01-19,10.46,10.81,10.25,10.639,10.639,1210867
2017-01-20,10.64,11.092,10.561,10.97,10.97,1389219
2017-01-21,10.93,11.07,10.339,10.664,10.664,1253308
2017-01-22,10.77,11.1971,10.589,10.827,10.827,802443
2017-01-23,10.79,10.92,10.45063,10.578,10.578,1226276
2017-01-24,10.57,10.667,10.351,10.55,10.55,665061
2017-01-25,10.54,10.691,10.427,10.54,10.54,838236
2017-01-26,10.58,10.6532,10.356,10.55,10.55,920488
2017-01-27,10.453,10.59996,10.35,10.528,10.528,766744
2017-01-28,10.54,10.58,10.376,10.49,10.49,343516
2017-01-29,10.5,10.72889,10.37,10.5,10.5,1057224
2017-01-30,10.59,10.79,10.377,10.7,10.7,1513462
2017-01-31,10.69,10.86,10.41,10.72,10.72,1294504
2017-02-01,10.73,10.86,10.527,10.82,10.82,1188252
2017-02-02,10.74,11.043,10.55,10.99,10.99,1257113
2017-02-03,11.022,11.46718,10.941,11.4,11.4,1979781
2017-02-04,11.39,11.44,11.054,11.26,11.26,695012
2017-02-05,11.28,11.42,11.123,11.34,11.34,893104
2017-02-06,11.33,11.59,11.253,11.437,11.437,1298019
2017-02-07,11.51,11.65,11,11.41,11.41,1602124
2017-02-08,11.4,11.54,10.409,11.01,11.01,2871694
2017-02-09,11.02,11.48,10.75,11.43,11.43,1633518
2017-02-10,11.44,11.52,11.125,11.52,11.52,1013484
