date,open,high,low,close,adjClose,volume
2003-06-26,29.71,30.28,29.61,30.22,25.909061,79187500
2003-06-27,30.25,30.57,29.77,29.83,25.574703,82451900
2003-06-30,30.16,30.34,29.8,29.95,25.677588,72043000
2003-07-01,29.7,30.38,29.26,30.35,26.020527,105852500
2003-07-02,30.41,30.99,30.38,30.97,26.552069,81972500
2003-07-03,30.7,31.1,30.47,30.58,26.217707,50050400
2003-07-07,30.97,31.9,30.96,31.89,27.340837,88554600
2003-07-08,31.78,32.31,31.62,32.28,27.675196,81874500
2003-07-09,32.18,32.49,31.93,32.2,27.606606,89588400
2003-07-10,31.85,31.99,31.33,31.6,27.092207,102928700
2003-07-11,31.65,31.99,31.61,31.84,27.29797,67728100
2003-07-14,32.34,32.75,32.07,32.22,27.623756,84524600
2003-07-15,32.53,32.65,31.94,32.26,27.658052,75059000
2003-07-16,32.46,32.5,31.73,32.16,27.572315,80138700
2003-07-17,31.68,31.84,31.04,31.18,26.732119,116260400
2003-07-18,31.4,31.55,30.92,31.28,26.817846,80519000
2003-07-21,31.24,31.3,30.61,30.88,26.474905,111325300
2003-07-22,31.11,31.5,30.86,31.34,26.869287,91471500
2003-07-23,31.39,31.64,30.99,31.6,27.092207,69050400
2003-07-24,31.85,32.02,31.08,31.18,26.732119,82999700
2003-07-25,31.13,31.84,30.77,31.8,27.263664,82709600
2003-07-28,31.86,31.99,31.6,31.89,27.340837,56180800
2003-07-29,31.93,32.02,31.24,31.65,27.135071,80560100
2003-07-30,31.71,31.74,31.33,31.42,26.937889,56617300
2003-07-31,31.79,32.33,31.52,31.8,27.263664,85544100
2003-08-01,31.69,31.79,31.3,31.46,26.972174,73545400
2003-08-04,31.42,31.8,30.84,31.45,26.9636,96344600
2003-08-05,31.41,31.48,30.1,30.21,25.900482,111041800
2003-08-06,30.36,30.77,30.1,30.19,25.883341,96816000
2003-08-07,30.22,30.51,30.02,30.31,25.986225,67326600
2003-08-08,30.43,30.55,29.93,30.07,25.78046,66677100
2003-08-11,30.08,30.6,30.03,30.4,26.063385,63712200
2003-08-12,30.51,30.9,30.33,30.86,26.45776,59676100
2003-08-13,30.98,31.07,30.65,30.87,26.46633,57969700
