date,open,high,low,close,volume,quote_asset_volume,number_of_trades,taker_buy_base_asset_volume,taker_buy_quote_asset_volume
2020-08-11,2.85000000,3.52080000,2.84330000,3.29850000,1552384.78000000,4939148.93810700,13490,741770.79000000,2370192.68111900
2020-08-12,3.29850000,3.92890000,3.08000000,3.75580000,1737042.95000000,6176153.72463800,21118,889133.50000000,3161944.26881700
2020-08-13,3.75000000,4.13870000,3.50030000,3.73000000,1685759.24000000,6446567.98049000,22922,716358.46000000,2755764.74800600
2020-08-14,3.72070000,3.76760000,3.32100000,3.40990000,1474161.79000000,5205834.09597700,18581,578651.84000000,2048896.65546700
2020-08-15,3.41810000,3.74000000,3.15000000,3.17300000,1070233.20000000,3658005.62220200,13903,439623.97000000,1510472.72956800
2020-08-16,3.17300000,3.49070000,3.12000000,3.38850000,668106.53000000,2227715.62781000,10659,267439.48000000,896424.21850500
2020-08-17,3.38850000,3.39520000,3.10000000,3.11000000,729413.64000000,2355329.78763000,8632,258191.89000000,833604.42981700
2020-08-18,3.11000000,3.70920000,2.81050000,3.34070000,2713115.94000000,8885306.13322400,27415,1276599.28000000,4211377.73393200
2020-08-19,3.33400000,3.49000000,2.80000000,2.88680000,1433243.76000000,4380403.48882400,17076,487245.28000000,1491949.57596300
2020-08-20,2.89620000,3.44500000,2.88710000,3.20380000,1277827.32000000,4078240.33148200,14169,654313.24000000,2100682.28532600
2020-08-21,3.20380000,3.24000000,2.89000000,2.93170000,1131895.90000000,3480342.67494000,12957,435955.04000000,1340925.25472600
2020-08-22,2.92130000,3.20000000,2.74310000,3.01260000,1169417.78000000,3433997.19373600,10427,535610.79000000,1579335.77989600
2020-08-23,3.02240000,3.40000000,3.00140000,3.25000000,1198036.69000000,3846250.69637000,11455,701976.44000000,2259165.67539900
2020-08-24,3.26580000,3.62000000,3.21000000,3.34050000,1315196.06000000,4504839.41721800,15317,634212.19000000,2181573.74310800
2020-08-25,3.34060000,3.36540000,3.00010000,3.25000000,1149187.37000000,3629890.75795400,14226,477028.87000000,1506233.26004600
2020-08-26,3.25760000,3.79990000,3.18090000,3.56840000,2290030.56000000,8065581.23932100,23980,1256407.83000000,4427331.46824800
2020-08-27,3.55570000,3.85750000,3.24340000,3.45010000,2412974.80000000,8578461.96452700,25784,1158014.83000000,4141258.62126200
2020-08-28,3.45030000,4.30910000,3.45030000,4.00630000,2581936.84000000,10089370.36535600,30430,1416811.61000000,5532658.68714100
2020-08-29,4.00700000,4.11210000,3.77480000,3.95350000,1342844.20000000,5290923.08962500,19319,589471.19000000,2328966.08074700
2020-08-30,3.95310000,4.71170000,3.90000000,4.43090000,1815681.99000000,7967065.16831300,26712,864714.97000000,3787277.37847900
2020-08-31,4.41270000,4.88650000,4.10000000,4.74350000,1497129.12000000,6664671.74724200,23396,829785.03000000,3715511.86280800
2020-09-01,4.74320000,4.94750000,4.30000000,4.33970000,1267574.76000000,5871722.63744100,20174,626210.98000000,2914616.45919400
2020-09-02,4.32130000,4.35060000,3.66000000,4.17000000,2002058.36000000,8136932.35262900,25545,872236.99000000,3553812.07120700
2020-09-03,4.17000000,4.45900000,3.47720000,3.50510000,3275612.26000000,12941589.82447800,37166,1415415.57000000,5628686.60808800
2020-09-04,3.50620000,3.83460000,3.17390000,3.53010000,2052197.24000000,7262296.37115600,23918,892868.07000000,3167604.52048200
2020-09-05,3.53010000,3.66370000,2.09260000,2.60520000,4426267.38000000,11872722.47996600,36221,1667142.80000000,4417379.50831400
2020-09-06,2.61190000,3.18000000,2.25750000,3.09410000,2898758.91000000,7940868.46326200,24763,1441533.05000000,3961686.65227000
2020-09-07,3.07850000,3.19830000,2.38000000,2.92370000,2680083.17000000,7269853.90869400,20763,1237117.42000000,3357706.94438000
2020-09-08,2.92370000,2.94990000,2.40000000,2.46800000,1626389.70000000,4163484.17494300,17527,594993.20000000,1526237.01692200
2020-09-09,2.46800000,3.88380000,2.38210000,3.60010000,6691121.99000000,22147440.58973700,54509,3343480.12000000,11062516.96911100
2020-09-10,3.61070000,3.87500000,3.30400000,3.47610000,4356890.66000000,15482088.38192500,47297,2075976.54000000,7395169.70058900
2020-09-11,3.47070000,3.50360000,3.03160000,3.39650000,2227636.94000000,7208721.22424400,23696,905328.95000000,2940779.29798300
2020-09-12,3.39670000,3.47000000,3.14940000,3.33160000,1161542.47000000,3845112.02572700,14476,555663.30000000,1842564.18066800
2020-09-13,3.33860000,3.47000000,2.98380000,3.26030000,2024779.41000000,6528375.66092300,27152,871294.02000000,2819238.84931700
2020-09-14,3.26560000,3.53930000,3.07520000,3.26410000,3351649.61000000,11170955.41711900,53540,1671479.97000000,5589901.33057100
2020-09-15,3.26400000,3.32490000,2.89550000,2.92950000,1698391.09000000,5332430.83456700,28139,671971.67000000,2114488.25667600
2020-09-16,2.92880000,2.92930000,2.42820000,2.53270000,4886766.99000000,12739762.36306600,52638,1895992.58000000,4948031.68085500
2020-09-17,2.53760000,2.93890000,2.36000000,2.88290000,4635747.31000000,12078123.51430100,50561,2337316.53000000,6112225.62423800
2020-09-18,2.88300000,3.16000000,2.72600000,3.11440000,4169446.23000000,12294993.32324400,49597,2127089.20000000,6283795.83696700
2020-09-19,3.10840000,3.25450000,2.95640000,3.03100000,1586219.86000000,4884899.26567600,23707,799968.39000000,2467075.79740500
2020-09-20,3.02160000,3.03190000,2.70000000,2.86280000,1456628.58000000,4183733.72040400,19133,620427.02000000,1786109.98779300
2020-09-21,2.86280000,3.03970000,2.46890000,2.76720000,3567879.31000000,9634412.01778900,45379,1721714.67000000,4642466.95558300
2020-09-22,2.75710000,3.01070000,2.65000000,2.90820000,3416786.33000000,9798314.27344100,46943,1734855.56000000,4980218.64873400
2020-09-23,2.91840000,3.09000000,2.70010000,2.85480000,2762150.96000000,7980465.49794600,34471,1405077.92000000,4075042.88849200
2020-09-24,2.85500000,3.25710000,2.78040000,3.14330000,2983701.04000000,9088676.27259000,37434,1621531.93000000,4936106.60127200
2020-09-25,3.14090000,3.27660000,2.90030000,3.19370000,2447843.22000000,7516842.11004600,30447,1162454.55000000,3567954.00070400
2020-09-26,3.18500000,3.25000000,3.03000000,3.12870000,1357018.72000000,4232119.88569200,19471,645639.17000000,2016567.26992100
2020-09-27,3.12920000,3.18570000,2.98190000,3.15780000,983815.86000000,3052809.12141000,13547,495458.24000000,1540901.26329700
2020-09-28,3.15570000,3.21090000,2.90800000,2.95990000,1306134.15000000,3987560.49731300,17608,494804.02000000,1516284.66651600
2020-09-29,2.95490000,3.02700000,2.87350000,2.95050000,950875.56000000,2801168.41980200,12547,438369.42000000,1290439.84722800
2020-09-30,2.94470000,2.98380000,2.82280000,2.89670000,722757.83000000,2099223.90076100,9631,313432.53000000,911664.63305100
2020-10-01,2.89670000,2.98890000,2.65000000,2.86690000,1373061.59000000,3893342.82485000,16798,595327.14000000,1692229.47486100
2020-10-02,2.86670000,2.88730000,2.42000000,2.62320000,2788493.11000000,7275003.79886200,26532,1307596.33000000,3422122.45603200
2020-10-03,2.62310000,2.67080000,2.53560000,2.54390000,547025.23000000,1435302.23882100,6342,251124.92000000,659738.45567500
2020-10-04,2.54200000,2.58980000,2.42000000,2.52020000,765399.21000000,1911132.61622300,8690,330605.85000000,826124.52253300
2020-10-05,2.51810000,2.68300000,2.45610000,2.65220000,912587.17000000,2349406.46224900,10397,490424.25000000,1260469.59640200
2020-10-06,2.64860000,2.66040000,2.13000000,2.17400000,1784025.33000000,4217794.48458800,15210,780760.97000000,1849835.00880000
2020-10-07,2.17210000,2.40830000,2.08100000,2.30050000,2087951.20000000,4681013.95215100,14780,955202.82000000,2146601.93211000
2020-10-08,2.30010000,2.45690000,2.01230000,2.36380000,2759189.94000000,6159554.61865500,22492,1422001.18000000,3185687.42139400
2020-10-09,2.36860000,2.63000000,2.30300000,2.53140000,1878523.79000000,4668501.51998600,19298,931717.29000000,2313924.54719500
2020-10-10,2.52740000,2.60560000,2.38730000,2.39990000,1278940.27000000,3208987.72096100,13855,539604.44000000,1353174.46227300
2020-10-11,2.39880000,2.46070000,2.34010000,2.42270000,898764.08000000,2160332.63194100,9182,421043.55000000,1012506.15096400
2020-10-12,2.42280000,2.70440000,2.41320000,2.58360000,2155387.01000000,5542124.89453000,20035,1220066.62000000,3135514.50216100
2020-10-13,2.58260000,2.58670000,2.33600000,2.40620000,1951031.10000000,4782866.49765300,19501,838059.60000000,2057570.90135700
2020-10-14,2.40610000,2.44240000,2.23310000,2.31070000,1125385.85000000,2631151.89321800,11891,470550.03000000,1104041.84461900
